NQUEST;Srvyr;DURACAO;Upload;Status;DINI;DFIM;VERSAO;PF1;IDADE1;SEXO;P1;P2;P3;P4;P5;P6;P7;P8;PEA;PARTIDO;ESCOLA;RENDAF;PONTO;PESQ
5873165;tab12;0:11:01;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;58;1;2;3;7;99;2;4;1;99;7;96;2;1;2496;4352
5873221;tab11;0:08:33;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;19;1;2;4;4;1;2;4;2;2;13;2;5;4;1506;13221
5873331;tab11;0:03:31;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;28;1;2;2;8;1;2;4;2;1;1;96;6;2;1506;13221
5873336;tab12;1:25:21;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;69;2;1;3;8;1;99;2;2;2;11;4;2;1;2496;4352
5873372;tab11;0:03:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;56;1;1;5;3;1;2;4;1;1;1;96;7;6;1506;13221
5873534;tab11;0:02:42;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;17;1;4;99;5;99;2;4;99;99;13;96;4;1;1506;13221
5873557;tab12;9:00:06;9/17/2013;Approved;9/16/2013;9/17/2013;11;1;44;1;2;5;,5;1;2;4;1;1;4;96;4;1;2496;4352
5873558;tab18;0:05:33;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;45;2;1;99;2;1;2;4;2;2;7;96;5;3;292;13047
5873584;tab03;0:05:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;1;3;3;7;1;2;3;1;1;13;96;4;2;1748;10231
5873590;tab38;0:05:06;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;18;1;4;3;7;1;1;4;1;2;2;96;3;2;2663;13211
5873602;tab24;0:05:15;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;52;1;1;2;8;1;2;2;1;1;1;96;5;5;2263;13334
5873658;tab03;0:06:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;29;1;1;5;,5;1;2;4;2;2;1;96;7;4;1748;10231
5873687;tab18;0:03:49;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;76;1;1;5;5;1;2;4;99;99;12;96;2;3;292;13047
5873723;tab11;0:03:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;36;1;2;4;3;1;2;4;1;1;13;96;5;4;1506;13221
5873727;tab24;0:03:35;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;2;4;4;6;1;2;4;1;1;13;2;4;1;2263;13334
5873735;tab12;0:07:45;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;59;2;2;4;99;2;1;3;1;99;11;2;5;1;2496;4352
5873759;tab18;0:03:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;57;1;2;1;8;1;2;2;2;1;1;2;3;3;292;13047
5873763;tab38;0:06:29;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;43;2;2;4;5;1;2;2;1;2;7;96;2;2;2663;13211
5873780;tab15;0:06:09;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;4;1;10;99;2;4;2;1;2;95;1;1;3283;13369
5873790;tab13;0:04:17;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;39;1;2;2;7;1;2;2;2;1;1;14;6;4;1222;13222
5873811;tab03;0:08:39;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;41;2;1;5;,5;1;2;4;1;2;11;96;3;2;1748;10231
5873817;tab05;0:03:49;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;43;2;2;5;,5;1;2;2;2;1;10;96;5;2;3142;13633
5873878;tab19;0:07:14;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;26;2;2;5;9;99;1;4;99;99;1;5;5;1;2508;11585
5873880;tab36;0:06:49;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;38;2;2;5;,5;1;2;4;1;2;1;2;7;1;708;13248
5873881;tab22;0:04:55;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;19;2;2;3;5;1;2;2;1;2;1;96;6;4;466;13179
5873882;tab24;0:05:19;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;85;1;2;2;5;2;1;1;1;1;12;96;7;5;2263;13334
5873891;tab27;0:07:02;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;54;2;2;2;7;1;2;4;2;1;12;96;7;2;1882;11645
5873893;tab11;0:04:10;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;35;2;2;5;5;1;2;2;2;2;7;96;5;3;1506;13221
5873910;tab38;0:06:17;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;16;2;4;5;8;1;2;4;2;2;13;96;4;1;2663;13211
5873954;tab12;0:11:01;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;45;1;2;1;8;1;2;2;1;1;7;2;2;3;2496;4352
5873955;tab03;0:05:26;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;25;2;1;5;,5;1;2;4;2;1;11;96;4;1;1748;10231
5873985;tab31;0:13:04;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;44;2;2;5;3;1;2;2;2;2;1;96;5;1;53;13518
5873987;tab05;0:03:47;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;17;1;4;4;5;1;1;4;1;1;2;96;1;1;3142;13633
5873988;tab15;0:06:14;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;24;2;2;3;5;1;2;3;2;99;10;96;5;1;3283;13369
5873994;tab40;0:10:48;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;58;1;4;2;,5;1;2;4;2;2;12;96;2;1;1970;13663
5874003;tab18;0:02:53;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;26;1;4;99;5;99;2;4;1;1;1;2;5;2;292;13047
5874005;tab01;0:05:37;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;19;1;2;3;6;1;2;4;2;1;1;96;5;1;40;12729
5874020;tab19;0:04:40;9/17/2013;Approved;9/17/2013;9/17/2013;11;1;40;2;2;5;3;1;2;2;2;1;7;2;5;2;2508;11585
